Event	ID	Name			Wwise Object Path	Notes
	227719812	Play_Slime_sucked			\Default Work Unit\Vacuum\Play_Slime_sucked	
	472891535	Play_Energy_Regen_PickUp			\Default Work Unit\Play_Energy_Regen_PickUp	
	486688722	Play_Slime_Walk			\Default Work Unit\Slimes\Slimes Movement\Play_Slime_Walk	
	608236531	Play_HealthUp			\Default Work Unit\Play_HealthUp	
	757323204	Play_Slime_Run			\Default Work Unit\Slimes\Slimes Movement\Play_Slime_Run	
	2111898282	Play_Level1Track			\Default Work Unit\Music\Play_Level1Track	
	2121812230	Play_FragmentPickUp			\Default Work Unit\Play_FragmentPickUp	
	2410481860	Play_Player_Hurt_Voice			\Default Work Unit\Player\Play_Player_Hurt_Voice	
	2856985320	Play_HealthPickUp			\Default Work Unit\Play_HealthPickUp	
	3044255001	Stop_Vacuum			\Default Work Unit\Vacuum\Stop_Vacuum	
	3206947708	Stop_Level1Track			\Default Work Unit\Music\Stop_Level1Track	
	3245116771	Play_Girl_Voice			\Default Work Unit\Voices\Play_Girl_Voice	
	3297008698	Play_Jump_Land			\Default Work Unit\Player\Jump\Play_Jump_Land	
	3394678998	Play_Energy_Station_backGround			\Default Work Unit\Energy Station\Play_Energy_Station_backGround	
	3480547451	Play_Boy_Voice			\Default Work Unit\Voices\Play_Boy_Voice	
	3689126666	Play_Jump			\Default Work Unit\Player\Jump\Play_Jump	
	3770280562	Play_Slime_Impacts			\Default Work Unit\Slimes\Play_Slime_Impacts	
	3854155799	Play_FootSteps			\Default Work Unit\Player\Play_FootSteps	
	3955858708	Stop_Energy_Station_Charge			\Default Work Unit\Energy Station\Stop_Energy_Station_Charge	
	4219374422	Play_Energy_Station_Charge			\Default Work Unit\Energy Station\Play_Energy_Station_Charge	
	4226331123	Play_Vacuum			\Default Work Unit\Vacuum\Play_Vacuum	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12279328	Gibberish_Female_I	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Gibberish_Female_I_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices\Girl Gibberish\Gibberish_Female_I		88264
	13057716	Gibberish_Female_A	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Gibberish_Female_A_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices\Girl Gibberish\Gibberish_Female_A		88264
	16830251	Player Hurt 3	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Player Hurt 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Hurt Voice\Player Hurt 3		88264
	28413886	Vacuum Cleaner Loop	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Vacuum Cleaner Loop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vacuum\Vacuum Start\Vacuum Cleaner Loop		970264
	30408524	Vacuum Cleaner End	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Vacuum Cleaner End_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vacuum\Vacuum Cleaner End		352864
	48127726	Jump	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Jump_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\mov\Jump		88264
	49373084	Player Hurt 1	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Player Hurt 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Hurt Voice\Player Hurt 1		88264
	61798196	FootSteps2	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\FootSteps2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\mov\FootSteps\FootSteps2		42640
	98967674	Gibberish_Male_E	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\Gibberish_Male_E_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voices\boy Gibberish\Gibberish_Male_E		88264
	99981450	HealthPickUp	B:\Unity projects\Slime busters\Slime busters_WwiseProject\.cache\Mac\SFX\HealthPickUp_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PickUps\Health\HealthPickUp		211744
